sex,age,country,returning,GImg1,GImg2,GImg3,PImg1,PImg2,PImg3,PImg4,PImg5,'Tense - relaxed','Authoritative -anarchic ','Hostile - friendly',TAudio1,TAudio2,TAudio3,QAudio1,QAudio2,QAudio3,Proxemics,'Type of Client'
F,'\'(35.4-41.1]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(3.7-4.6]\'','\'(-inf-1.5]\'',A,dislikes,indiferent,likes,indiferent,likes,dislikes,2
F,'\'(29.7-35.4]\'',polish,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(2.5-3]\'',A,indiferent,dislikes,likes,dislikes,indiferent,dislikes,2
M,'\'(35.4-41.1]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(1.9-2.8]\'','\'(-inf-1.5]\'',A,dislikes,indiferent,likes,dislikes,indiferent,dislikes,2
M,'\'(-inf-29.7]\'',england,yes,likes,indiferent,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(6.4-7.3]\'','\'(4.5-5]\'',A,indiferent,indiferent,likes,indiferent,indiferent,dislikes,2
F,'\'(52.5-58.2]\'',argentina,no,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(7.3-8.2]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,indiferent,dislikes,2
M,'\'(52.5-58.2]\'',argentina,no,likes,indiferent,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(9.1-inf)\'','\'(3.5-4]\'',B,dislikes,dislikes,likes,dislikes,indiferent,dislikes,2
F,'\'(52.5-58.2]\'',colombia,no,likes,likes,likes,likes,likes,likes,indiferent,dislikes,'\'(2.6-3]\'','\'(7.3-8.2]\'','\'(1.5-2]\'',B,dislikes,indiferent,likes,dislikes,dislikes,dislikes,2
M,'\'(52.5-58.2]\'',canada,yes,likes,indiferent,likes,likes,likes,likes,likes,dislikes,'\'(1.8-2.2]\'','\'(3.7-4.6]\'','\'(4.5-5]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(63.9-69.6]\'',canada,yes,likes,likes,likes,likes,likes,likes,dislikes,dislikes,'\'(-inf-1.4]\'','\'(5.5-6.4]\'','\'(-inf-1.5]\'',B,indiferent,indiferent,likes,dislikes,dislikes,indiferent,2
F,'\'(-inf-29.7]\'',england,yes,likes,likes,likes,likes,likes,likes,indiferent,dislikes,'\'(4.6-inf)\'','\'(2.8-3.7]\'','\'(3.5-4]\'',B,dislikes,likes,likes,dislikes,dislikes,dislikes,2
F,'\'(52.5-58.2]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(5.5-6.4]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(29.7-35.4]\'',canada,no,indiferent,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(2.8-3.7]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,indiferent,2
F,'\'(52.5-58.2]\'',scotland,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(9.1-inf)\'','\'(1.5-2]\'',A,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(58.2-63.9]\'',polish,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(9.1-inf)\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(52.5-58.2]\'',polish,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(3.7-4.6]\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(46.8-52.5]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(6.4-7.3]\'','\'(-inf-1.5]\'',A,indiferent,dislikes,likes,dislikes,dislikes,indiferent,2
M,'\'(46.8-52.5]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(8.2-9.1]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(35.4-41.1]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(-inf-1.5]\'',A,indiferent,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(58.2-63.9]\'',canada,no,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(6.4-7.3]\'','\'(2.5-3]\'',B,indiferent,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(63.9-69.6]\'',canada,no,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(5.5-6.4]\'','\'(-inf-1.5]\'',B,indiferent,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(41.1-46.8]\'',scotland,yes,likes,indiferent,likes,likes,likes,likes,indiferent,dislikes,'\'(-inf-1.4]\'','\'(2.8-3.7]\'','\'(-inf-1.5]\'',B,dislikes,indiferent,likes,dislikes,dislikes,dislikes,2
M,'\'(46.8-52.5]\'',scotland,yes,likes,likes,indiferent,likes,likes,likes,likes,dislikes,'\'(4.6-inf)\'','\'(9.1-inf)\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(75.3-inf)\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(5.5-6.4]\'','\'(-inf-1.5]\'',B,dislikes,indiferent,likes,dislikes,dislikes,dislikes,2
F,'\'(35.4-41.1]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(4.6-5.5]\'','\'(-inf-1.5]\'',A,dislikes,indiferent,likes,dislikes,dislikes,indiferent,2
M,'\'(41.1-46.8]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(4.6-5.5]\'','\'(2.5-3]\'',A,dislikes,indiferent,likes,dislikes,dislikes,dislikes,2
F,'\'(63.9-69.6]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(1.9-2.8]\'','\'(-inf-1.5]\'',A,dislikes,indiferent,likes,dislikes,dislikes,likes,2
M,'\'(69.6-75.3]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(1.9-2.8]\'','\'(1.5-2]\'',A,dislikes,indiferent,likes,dislikes,dislikes,dislikes,2
M,'\'(75.3-inf)\'',england,no,likes,indiferent,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(7.3-8.2]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(46.8-52.5]\'',canada,yes,likes,likes,indiferent,likes,likes,likes,likes,dislikes,'\'(1.8-2.2]\'','\'(1.9-2.8]\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(63.9-69.6]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(58.2-63.9]\'',canada,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
M,'\'(41.1-46.8]\'',england,yes,likes,likes,likes,likes,likes,indiferent,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(-inf-1.5]\'',B,dislikes,indiferent,likes,dislikes,indiferent,dislikes,2
F,'\'(35.4-41.1]\'',canada,no,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(3.7-4.6]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,dislikes,2
F,'\'(35.4-41.1]\'',england,yes,likes,likes,likes,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(4.6-5.5]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,indiferent,dislikes,dislikes,2
F,'\'(75.3-inf)\'',chile,yes,likes,likes,likes,likes,likes,indiferent,likes,dislikes,'\'(-inf-1.4]\'','\'(1.9-2.8]\'','\'(-inf-1.5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,indiferent,2
F,'\'(75.3-inf)\'',england,yes,indiferent,likes,likes,likes,likes,likes,indiferent,dislikes,'\'(1.8-2.2]\'','\'(6.4-7.3]\'','\'(4.5-5]\'',A,dislikes,indiferent,likes,dislikes,indiferent,indiferent,3
F,'\'(46.8-52.5]\'',england,yes,likes,indiferent,indiferent,likes,likes,likes,indiferent,dislikes,'\'(2.6-3]\'','\'(2.8-3.7]\'','\'(3.5-4]\'',C,dislikes,indiferent,likes,indiferent,dislikes,dislikes,3
M,'\'(52.5-58.2]\'',england,yes,likes,indiferent,indiferent,likes,likes,likes,dislikes,dislikes,'\'(1.8-2.2]\'','\'(3.7-4.6]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,indiferent,dislikes,3
F,'\'(29.7-35.4]\'',england,no,likes,indiferent,indiferent,likes,likes,likes,indiferent,dislikes,'\'(1.8-2.2]\'','\'(1.9-2.8]\'','\'(2.5-3]\'',C,indiferent,dislikes,likes,dislikes,dislikes,dislikes,3
M,'\'(52.5-58.2]\'',germany,yes,indiferent,indiferent,indiferent,likes,likes,dislikes,indiferent,dislikes,'\'(4.6-inf)\'','\'(1.9-2.8]\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,3
F,'\'(35.4-41.1]\'',england,no,likes,likes,indiferent,likes,likes,likes,indiferent,dislikes,'\'(1.8-2.2]\'','\'(1.9-2.8]\'','\'(3.5-4]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,3
F,'\'(52.5-58.2]\'',england,yes,likes,indiferent,indiferent,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,3
M,'\'(52.5-58.2]\'',england,yes,likes,indiferent,indiferent,likes,likes,likes,likes,dislikes,'\'(-inf-1.4]\'','\'(-inf-1.9]\'','\'(-inf-1.5]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,3
M,'\'(35.4-41.1]\'',cuba,no,likes,indiferent,indiferent,likes,likes,dislikes,indiferent,dislikes,'\'(1.8-2.2]\'','\'(2.8-3.7]\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,dislikes,dislikes,dislikes,3
M,'\'(-inf-29.7]\'',italy,yes,likes,likes,indiferent,likes,likes,likes,likes,dislikes,'\'(1.8-2.2]\'','\'(3.7-4.6]\'','\'(1.5-2]\'',B,dislikes,dislikes,likes,dislikes,indiferent,dislikes,3
M,'\'(29.7-35.4]\'',england,no,dislikes,dislikes,dislikes,likes,likes,dislikes,dislikes,dislikes,'\'(4.6-inf)\'','\'(8.2-9.1]\'','\'(1.5-2]\'',C,dislikes,likes,likes,dislikes,dislikes,dislikes,4
F,'\'(-inf-29.7]\'',russia,no,likes,indiferent,indiferent,likes,likes,likes,likes,dislikes,'\'(4.6-inf)\'','\'(4.6-5.5]\'','\'(-inf-1.5]\'',C,indiferent,dislikes,likes,dislikes,dislikes,dislikes,4
M,'\'(46.8-52.5]\'',italy,no,indiferent,dislikes,dislikes,likes,likes,dislikes,dislikes,dislikes,'\'(1.8-2.2]\'','\'(7.3-8.2]\'','\'(1.5-2]\'',C,dislikes,dislikes,likes,dislikes,dislikes,dislikes,4
M,'\'(52.5-58.2]\'',italy,no,indiferent,dislikes,dislikes,indiferent,likes,indiferent,dislikes,dislikes,'\'(3.8-4.2]\'','\'(1.9-2.8]\'','\'(-inf-1.5]\'',C,dislikes,dislikes,dislikes,dislikes,dislikes,dislikes,4
F,'\'(35.4-41.1]\'',mexico,no,indiferent,indiferent,dislikes,likes,likes,dislikes,dislikes,dislikes,'\'(1.8-2.2]\'','\'(9.1-inf)\'','\'(2.5-3]\'',A,indiferent,dislikes,dislikes,dislikes,dislikes,dislikes,4
M,'\'(35.4-41.1]\'',germany,no,dislikes,dislikes,dislikes,likes,likes,dislikes,dislikes,dislikes,'\'(2.6-3]\'','\'(2.8-3.7]\'','\'(1.5-2]\'',C,indiferent,dislikes,indiferent,dislikes,dislikes,dislikes,4
F,'\'(52.5-58.2]\'',england,no,indiferent,dislikes,dislikes,likes,likes,dislikes,indiferent,dislikes,'\'(4.6-inf)\'','\'(1.9-2.8]\'','\'(-inf-1.5]\'',D,dislikes,dislikes,dislikes,dislikes,dislikes,dislikes,4
M,'\'(-inf-29.7]\'',england,no,indiferent,dislikes,dislikes,likes,likes,dislikes,dislikes,dislikes,'\'(3.8-4.2]\'','\'(1.9-2.8]\'','\'(4.5-5]\'',C,dislikes,dislikes,likes,dislikes,dislikes,dislikes,4
F,'\'(52.5-58.2]\'',russia,no,indiferent,dislikes,dislikes,likes,likes,dislikes,dislikes,dislikes,'\'(4.6-inf)\'','\'(3.7-4.6]\'','\'(5.5-inf)\'',D,dislikes,dislikes,likes,dislikes,indiferent,dislikes,4
F,'\'(46.8-52.5]\'',germany,no,indiferent,dislikes,dislikes,indiferent,likes,dislikes,dislikes,dislikes,'\'(4.6-inf)\'','\'(8.2-9.1]\'','\'(5.5-inf)\'',D,dislikes,dislikes,likes,dislikes,dislikes,dislikes,4
F,'\'(-inf-29.7]\'',spain,no,indiferent,indiferent,indiferent,likes,likes,dislikes,dislikes,dislikes,'\'(2.6-3]\'','\'(3.7-4.6]\'','\'(1.5-2]\'',C,dislikes,dislikes,likes,dislikes,dislikes,dislikes,4
F,'\'(-inf-29.7]\'',spain,no,indiferent,indiferent,likes,likes,likes,dislikes,dislikes,dislikes,'\'(1.8-2.2]\'','\'(5.5-6.4]\'','\'(1.5-2]\'',C,dislikes,dislikes,indiferent,dislikes,dislikes,dislikes,4
F,'\'(-inf-29.7]\'',spain,no,indiferent,indiferent,likes,likes,likes,dislikes,dislikes,dislikes,'\'(2.6-3]\'','\'(8.2-9.1]\'','\'(1.5-2]\'',C,dislikes,dislikes,likes,dislikes,dislikes,dislikes,4
F,'\'(35.4-41.1]\'',england,no,indiferent,dislikes,dislikes,likes,likes,dislikes,indiferent,dislikes,'\'(4.6-inf)\'','\'(6.4-7.3]\'','\'(3.5-4]\'',C,dislikes,dislikes,likes,dislikes,dislikes,dislikes,4
M,'\'(35.4-41.1]\'',russia,no,dislikes,dislikes,dislikes,likes,likes,dislikes,indiferent,dislikes,'\'(4.6-inf)\'','\'(1.9-2.8]\'','\'(4.5-5]\'',C,dislikes,dislikes,dislikes,dislikes,dislikes,dislikes,5
F,'\'(41.1-46.8]\'',canada,no,dislikes,indiferent,indiferent,indiferent,likes,dislikes,indiferent,dislikes,'\'(1.8-2.2]\'','\'(-inf-1.9]\'','\'(1.5-2]\'',A,dislikes,dislikes,indiferent,indiferent,dislikes,indiferent,5
M,'\'(35.4-41.1]\'',germany,no,dislikes,dislikes,likes,likes,likes,dislikes,dislikes,dislikes,'\'(4.6-inf)\'','\'(3.7-4.6]\'','\'(3.5-4]\'',C,dislikes,dislikes,indiferent,dislikes,dislikes,dislikes,5
M,'\'(-inf-29.7]\'',canada,no,dislikes,likes,indiferent,likes,likes,dislikes,dislikes,dislikes,'\'(3.8-4.2]\'','\'(8.2-9.1]\'','\'(4.5-5]\'',A,dislikes,dislikes,likes,dislikes,dislikes,likes,5
