I0,PA500,HFS,DA,Area,A/DA,'Max IP',DR,P,Class
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(-inf--0.012915]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(-inf-0.046984]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.147306-0.200713]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',fad
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.200713-0.25412]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.200713-0.25412]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(372.7-642.4]\'','\'(0.046984-0.081577]\'','\'(0.147306-0.200713]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',mas
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(-inf-0.046984]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.200713-0.25412]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(372.7-642.4]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(402.138953-679.299345]\'',mas
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(372.7-642.4]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',mas
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.147306-0.200713]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.219946-0.254539]\'','\'(0.414341-inf)\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(-inf-402.138953]\'',mas
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',mas
'\'(372.7-642.4]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.200713-0.25412]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(372.7-642.4]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(372.7-642.4]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(402.138953-679.299345]\'',gla
'\'(-inf-372.7]\'','\'(0.081577-0.116169]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.116169-0.150762]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(-inf-372.7]\'','\'(0.150762-0.185354]\'','\'(0.25412-0.307527]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(-inf-89.42331]\'','\'(-inf-402.138953]\'',gla
'\'(1721.2-1990.9]\'','\'(0.046984-0.081577]\'','\'(-inf--0.012915]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(50.781869-93.594955]\'','\'(385.466329-484.147335]\'','\'(1233.62013-1510.780522]\'',con
'\'(1181.8-1451.5]\'','\'(0.081577-0.116169]\'','\'(0.040492-0.093899]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(136.40804-179.221126]\'','\'(89.42331-188.104316]\'','\'(1510.780522-1787.940914]\'',con
'\'(912.1-1181.8]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(50.781869-93.594955]\'','\'(89.42331-188.104316]\'','\'(956.459738-1233.62013]\'',con
'\'(642.4-912.1]\'','\'(0.081577-0.116169]\'','\'(-0.012915-0.040492]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',con
'\'(1451.5-1721.2]\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(50.781869-93.594955]\'','\'(286.785323-385.466329]\'','\'(1233.62013-1510.780522]\'',con
'\'(642.4-912.1]\'','\'(-inf-0.046984]\'','\'(-0.012915-0.040492]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(89.42331-188.104316]\'','\'(402.138953-679.299345]\'',con
'\'(642.4-912.1]\'','\'(-inf-0.046984]\'','\'(0.093899-0.147306]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',con
'\'(642.4-912.1]\'','\'(-inf-0.046984]\'','\'(0.040492-0.093899]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(-inf-50.781869]\'','\'(188.104316-286.785323]\'','\'(402.138953-679.299345]\'',con
'\'(1451.5-1721.2]\'','\'(-inf-0.046984]\'','\'(0.040492-0.093899]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(50.781869-93.594955]\'','\'(385.466329-484.147335]\'','\'(1233.62013-1510.780522]\'',con
'\'(1451.5-1721.2]\'','\'(0.081577-0.116169]\'','\'(0.040492-0.093899]\'','\'(541.544548-645.923924]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(93.594955-136.40804]\'','\'(582.828342-681.509348]\'','\'(956.459738-1233.62013]\'',con
'\'(912.1-1181.8]\'','\'(0.081577-0.116169]\'','\'(0.040492-0.093899]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(286.785323-385.466329]\'','\'(956.459738-1233.62013]\'',con
'\'(1181.8-1451.5]\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(541.544548-645.923924]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(50.781869-93.594955]\'','\'(484.147335-582.828342]\'','\'(679.299345-956.459738]\'',con
'\'(1451.5-1721.2]\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(541.544548-645.923924]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(93.594955-136.40804]\'','\'(484.147335-582.828342]\'','\'(1233.62013-1510.780522]\'',con
'\'(1451.5-1721.2]\'','\'(0.081577-0.116169]\'','\'(-0.012915-0.040492]\'','\'(541.544548-645.923924]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(93.594955-136.40804]\'','\'(582.828342-681.509348]\'','\'(956.459738-1233.62013]\'',con
'\'(1990.9-2260.6]\'','\'(0.046984-0.081577]\'','\'(-inf--0.012915]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(93.594955-136.40804]\'','\'(286.785323-385.466329]\'','\'(2065.101306-2342.261699]\'',adi
'\'(1721.2-1990.9]\'','\'(-inf-0.046984]\'','\'(0.040492-0.093899]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(-inf-17.843322]\'','\'(50.781869-93.594955]\'','\'(286.785323-385.466329]\'','\'(1510.780522-1787.940914]\'',adi
'\'(1990.9-2260.6]\'','\'(0.116169-0.150762]\'','\'(0.360934-0.414341]\'','\'(437.165173-541.544548]\'','\'(34952.436231-52393.441227]\'','\'(66.586062-82.833642]\'','\'(393.286554-inf)\'','\'(89.42331-188.104316]\'','\'(2342.261699-2619.422091]\'',adi
'\'(1451.5-1721.2]\'','\'(-inf-0.046984]\'','\'(0.040492-0.093899]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(50.781869-93.594955]\'','\'(-inf-89.42331]\'','\'(1510.780522-1787.940914]\'',adi
'\'(1451.5-1721.2]\'','\'(-inf-0.046984]\'','\'(0.093899-0.147306]\'','\'(-inf-124.027045]\'','\'(-inf-17511.431235]\'','\'(99.081223-115.328803]\'','\'(93.594955-136.40804]\'','\'(-inf-89.42331]\'','\'(2065.101306-2342.261699]\'',adi
'\'(1721.2-1990.9]\'','\'(0.046984-0.081577]\'','\'(-0.012915-0.040492]\'','\'(124.027045-228.406421]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(93.594955-136.40804]\'','\'(89.42331-188.104316]\'','\'(1787.940914-2065.101306]\'',adi
'\'(1721.2-1990.9]\'','\'(0.046984-0.081577]\'','\'(0.040492-0.093899]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(50.338482-66.586062]\'','\'(136.40804-179.221126]\'','\'(188.104316-286.785323]\'','\'(1787.940914-2065.101306]\'',adi
'\'(2260.6-2530.3]\'','\'(0.046984-0.081577]\'','\'(0.25412-0.307527]\'','\'(437.165173-541.544548]\'','\'(17511.431235-34952.436231]\'','\'(50.338482-66.586062]\'','\'(264.847297-307.660383]\'','\'(385.466329-484.147335]\'','\'(2342.261699-2619.422091]\'',adi
'\'(1721.2-1990.9]\'','\'(0.081577-0.116169]\'','\'(0.200713-0.25412]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(179.221126-222.034212]\'','\'(286.785323-385.466329]\'','\'(1787.940914-2065.101306]\'',adi
'\'(1721.2-1990.9]\'','\'(0.046984-0.081577]\'','\'(0.093899-0.147306]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(136.40804-179.221126]\'','\'(188.104316-286.785323]\'','\'(1787.940914-2065.101306]\'',adi
'\'(1721.2-1990.9]\'','\'(0.046984-0.081577]\'','\'(0.147306-0.200713]\'','\'(332.785797-437.165173]\'','\'(-inf-17511.431235]\'','\'(34.090902-50.338482]\'','\'(136.40804-179.221126]\'','\'(286.785323-385.466329]\'','\'(1787.940914-2065.101306]\'',adi
'\'(1721.2-1990.9]\'','\'(0.046984-0.081577]\'','\'(0.200713-0.25412]\'','\'(228.406421-332.785797]\'','\'(-inf-17511.431235]\'','\'(17.843322-34.090902]\'','\'(179.221126-222.034212]\'','\'(188.104316-286.785323]\'','\'(1787.940914-2065.101306]\'',adi
