b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,class
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-25.138--23.037]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','s '
'\'(46.2-53.8]\'','\'(50.2-57]\'','\'(70.1-77.8]\'','\'(97.8-105]\'','\'(82.9-88.6]\'','\'(116-121.5]\'','\'(98.4-107.8]\'','\'(38.5-45]\'','\'(72.6-79.5]\'','\'(53.628-61.741]\'','\'(-6.465-0.808]\'','\'(22.358-31.156]\'','\'(-5.26-1.23]\'','\'(-63.328--57.712]\'','\'(-61.084--55.722]\'','\'(-30.265--20.99]\'','\'(-15.446--8.897]\'','\'(-24.35--17.564]\'','\'(-19.178--17.275]\'','\'(-3.323--2.594]\'','\'(-inf--9.004]\'','\'(-21.094--18.838]\'','\'(-1.621--1.412]\'','\'(-7.25--6.53]\'','\'(-20.936--18.835]\'','\'(-2.868--1.96]\'','\'(-6.428--5.594]\'','o '
'\'(38.6-46.2]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(1.23-7.72]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','d '
'\'(76.6-84.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(105-112.2]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(29.289-37.402]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-18.24--11.75]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(53.8-61.4]\'','\'(63.8-70.6]\'','\'(77.8-85.5]\'','\'(90.6-97.8]\'','\'(77.2-82.9]\'','\'(116-121.5]\'','\'(107.8-117.2]\'','\'(32-38.5]\'','\'(65.7-72.6]\'','\'(53.628-61.741]\'','\'(-13.738--6.465]\'','\'(13.56-22.358]\'','\'(1.23-7.72]\'','\'(-57.712--52.096]\'','\'(-61.084--55.722]\'','\'(-39.54--30.265]\'','\'(-8.897--2.348]\'','\'(-17.564--10.778]\'','\'(-19.178--17.275]\'','\'(-3.323--2.594]\'','\'(-inf--9.004]\'','\'(-21.094--18.838]\'','\'(-1.621--1.412]\'','\'(-7.25--6.53]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','o '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-25.138--23.037]\'','\'(-3.776--2.868]\'','\'(-6.428--5.594]\'','s '
'\'(46.2-53.8]\'','\'(50.2-57]\'','\'(77.8-85.5]\'','\'(97.8-105]\'','\'(77.2-82.9]\'','\'(110.5-116]\'','\'(70.2-79.6]\'','\'(32-38.5]\'','\'(65.7-72.6]\'','\'(61.741-69.854]\'','\'(-6.465-0.808]\'','\'(13.56-22.358]\'','\'(-5.26-1.23]\'','\'(-57.712--52.096]\'','\'(-50.36--44.998]\'','\'(-2.44-6.835]\'','\'(-8.897--2.348]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-2.594--1.865]\'','\'(-9.004--7.888]\'','\'(-21.094--18.838]\'','\'(-1.621--1.412]\'','\'(-7.25--6.53]\'','\'(-23.037--20.936]\'','\'(-4.684--3.776]\'','\'(-8.096--7.262]\'','o '
'\'(-inf-38.6]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(60.1-65.8]\'','\'(99.5-105]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(77.967-inf)\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(16.11-25.385]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-30.118--27.862]\'','\'(-1.203--0.994]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-1.96--1.052]\'','\'(-5.594--4.76]\'','d '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(90.6-97.8]\'','\'(48.7-54.4]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(38.6-46.2]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(90.6-97.8]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(60.8-70.2]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(69.854-77.967]\'','\'(8.081-15.354]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-35.248--29.632]\'','\'(-39.636--34.274]\'','\'(6.835-16.11]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-25.606--23.35]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-20.936--18.835]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','o '
'\'(69-76.6]\'','\'(70.6-77.4]\'','\'(93.2-100.9]\'','\'(112.2-119.4]\'','\'(77.2-82.9]\'','\'(116-121.5]\'','\'(126.6-inf)\'','\'(32-38.5]\'','\'(72.6-79.5]\'','\'(29.289-37.402]\'','\'(-28.284--21.011]\'','\'(-4.036-4.762]\'','\'(-24.73--18.24]\'','\'(-52.096--46.48]\'','\'(-61.084--55.722]\'','\'(-inf--48.815]\'','\'(-8.897--2.348]\'','\'(-24.35--17.564]\'','\'(-17.275--15.372]\'','\'(-1.136--0.407]\'','\'(-4.54--3.424]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-16.734--14.633]\'','\'(-1.052--0.144]\'','\'(-3.926--3.092]\'','o '
'\'(46.2-53.8]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(97.8-105]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-39.636--34.274]\'','\'(-11.715--2.44]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-24.887--22.984]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-30.118--27.862]\'','\'(-1.412--1.203]\'','\'(-7.25--6.53]\'','\'(-27.239--25.138]\'','\'(-1.96--1.052]\'','\'(-5.594--4.76]\'','d '
'\'(-inf-38.6]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(51.4-60.8]\'','\'(-inf-25.5]\'','\'(-inf-51.9]\'','\'(77.967-inf)\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(7.72-14.21]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(25.385-inf)\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-24.887--22.984]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-30.118--27.862]\'','\'(-0.994--0.785]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-6.428--5.594]\'','d '
'\'(61.4-69]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(45.515-53.628]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(14.21-20.7]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(2.794-inf)\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-6.772--5.656]\'','\'(-23.35--21.094]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','s '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(51.4-60.8]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-24.016-inf)\'','\'(-28.912-inf)\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-23.35--21.094]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-16.734--14.633]\'','\'(-1.96--1.052]\'','\'(-3.926--3.092]\'','s '
'\'(61.4-69]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(105-112.2]\'','\'(-inf-48.7]\'','\'(88.5-94]\'','\'(79.6-89]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(45.515-53.628]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(-11.75--5.26]\'','\'(-24.016-inf)\'','\'(-34.274--28.912]\'','\'(-11.715--2.44]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-0.994--0.785]\'','\'(-6.53--5.81]\'','\'(-25.138--23.037]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','d '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(54.7-62.4]\'','\'(83.4-90.6]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-21.081--19.178]\'','\'(-3.323--2.594]\'','\'(-7.888--6.772]\'','\'(-21.094--18.838]\'','\'(-inf--1.621]\'','\'(-7.25--6.53]\'','\'(-23.037--20.936]\'','\'(-4.684--3.776]\'','\'(-7.262--6.428]\'','d '
'\'(53.8-61.4]\'','\'(29.8-36.6]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(54.4-60.1]\'','\'(88.5-94]\'','\'(89-98.4]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(53.628-61.741]\'','\'(15.354-22.627]\'','\'(39.954-48.752]\'','\'(-5.26-1.23]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-20.99--11.715]\'','\'(-2.348-4.201]\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.412--1.203]\'','\'(-6.53--5.81]\'','\'(-23.037--20.936]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(46.2-53.8]\'','\'(36.6-43.4]\'','\'(54.7-62.4]\'','\'(105-112.2]\'','\'(54.4-60.1]\'','\'(99.5-105]\'','\'(89-98.4]\'','\'(25.5-32]\'','\'(58.8-65.7]\'','\'(53.628-61.741]\'','\'(8.081-15.354]\'','\'(31.156-39.954]\'','\'(-18.24--11.75]\'','\'(-35.248--29.632]\'','\'(-44.998--39.636]\'','\'(-30.265--20.99]\'','\'(-2.348-4.201]\'','\'(-10.778--3.992]\'','\'(-15.372--13.469]\'','\'(-1.136--0.407]\'','\'(-3.424--2.308]\'','\'(-18.838--16.582]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-10.431-inf)\'','\'(-0.144-0.764]\'','\'(-3.092--2.258]\'','d '
'\'(46.2-53.8]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(76.2-83.4]\'','\'(54.4-60.1]\'','\'(94-99.5]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(7.72-14.21]\'','\'(-35.248--29.632]\'','\'(-34.274--28.912]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-19.178--17.275]\'','\'(-1.865--1.136]\'','\'(-6.772--5.656]\'','\'(-25.606--23.35]\'','\'(-1.412--1.203]\'','\'(-5.81--5.09]\'','\'(-18.835--16.734]\'','\'(-1.96--1.052]\'','\'(-4.76--3.926]\'','s '
'\'(53.8-61.4]\'','\'(63.8-70.6]\'','\'(85.5-93.2]\'','\'(97.8-105]\'','\'(77.2-82.9]\'','\'(121.5-127]\'','\'(70.2-79.6]\'','\'(45-51.5]\'','\'(72.6-79.5]\'','\'(45.515-53.628]\'','\'(-21.011--13.738]\'','\'(4.762-13.56]\'','\'(-11.75--5.26]\'','\'(-57.712--52.096]\'','\'(-61.084--55.722]\'','\'(-2.44-6.835]\'','\'(-21.995--15.446]\'','\'(-24.35--17.564]\'','\'(-19.178--17.275]\'','\'(-0.407-0.322]\'','\'(-3.424--2.308]\'','\'(-21.094--18.838]\'','\'(-0.576--0.367]\'','\'(-4.37--3.65]\'','\'(-14.633--12.532]\'','\'(-0.144-0.764]\'','\'(-3.092--2.258]\'','o '
'\'(53.8-61.4]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(97.8-105]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(70.2-79.6]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(61.741-69.854]\'','\'(22.627-inf)\'','\'(39.954-48.752]\'','\'(1.23-7.72]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(-2.44-6.835]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-1.865--1.136]\'','\'(-5.656--4.54]\'','\'(-25.606--23.35]\'','\'(-0.994--0.785]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-3.776--2.868]\'','\'(-7.262--6.428]\'','s '
'\'(38.6-46.2]\'','\'(-inf-29.8]\'','\'(-inf-54.7]\'','\'(83.4-90.6]\'','\'(48.7-54.4]\'','\'(88.5-94]\'','\'(60.8-70.2]\'','\'(-inf-25.5]\'','\'(51.9-58.8]\'','\'(69.854-77.967]\'','\'(22.627-inf)\'','\'(48.752-inf)\'','\'(14.21-20.7]\'','\'(-29.632--24.016]\'','\'(-34.274--28.912]\'','\'(6.835-16.11]\'','\'(4.201-inf)\'','\'(-3.992-2.794]\'','\'(-22.984--21.081]\'','\'(-2.594--1.865]\'','\'(-5.656--4.54]\'','\'(-27.862--25.606]\'','\'(-1.203--0.994]\'','\'(-5.81--5.09]\'','\'(-23.037--20.936]\'','\'(-2.868--1.96]\'','\'(-5.594--4.76]\'','s '
