Node,'Utilised Bandwith Rate','Packet Drop Rate',Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,'Packet Received  Rate','of Used_Bandwidth',Lost_Bandwidth,'Packet Size_Byte',Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,'Node Status','Flood Status',Class
'\'(-inf-3.6]\'','\'(0.720291-0.789528]\'','\'(0.222489-0.29067]\'','\'(550-640]\'','\'(-inf-0.000889]\'','\'(22.24642-29.064546]\'','\'(22.248881-29.067006]\'','\'(0.70933-0.777511]\'','\'(447.294375-531.243]\'','\'(99.541125-164.91725]\'','\'All\'','\'(49686-57813.6]\'','\'(39791-47259]\'','\'(9763.2-15613.4]\'','\'(71547840-83251584]\'','\'(-inf-101183152]\'','\'(0.173742-0.231238]\'','\'(0.685824-0.754176]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
'\'(8.4-inf)\'','\'(0.512583-0.581819]\'','\'(0.427032-0.495214]\'','\'(190-280]\'','\'(-inf-0.000889]\'','\'(42.700798-49.518923]\'','\'(42.703258-49.521384]\'','\'(0.504786-0.572967]\'','\'(-inf-111.499875]\'','\'(-inf-99.541125]\'','\'All\'','\'(17175.6-25303.2]\'','\'(-inf-9919]\'','\'(-inf-9763.2]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.288735-0.346231]\'','\'(0.412417-0.480769]\'','\'(0.000855-0.001305]\'','P NB','\'(0.056674-0.113348]\'',NB-Wait
'\'(-inf-3.6]\'','\'(0.789528-0.858764]\'','\'(0.154307-0.222489]\'','\'(460-550]\'','\'(-inf-0.000889]\'','\'(15.428294-22.24642]\'','\'(15.430755-22.248881]\'','\'(0.777511-0.845693]\'','\'(363.34575-447.294375]\'','\'(-inf-99.541125]\'','\'All\'','\'(41558.4-49686]\'','\'(32323-39791]\'','\'(-inf-9763.2]\'','\'(59844096-71547840]\'','\'(-inf-101183152]\'','\'(0.116246-0.173742]\'','\'(0.754176-0.822528]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','No Block'
'\'(8.4-inf)\'','\'(0.651055-0.720291]\'','\'(0.29067-0.358851]\'','\'(190-280]\'','\'(0.001855-0.002338]\'','\'(29.064546-35.882672]\'','\'(29.067006-35.885132]\'','\'(0.641149-0.70933]\'','\'(111.499875-195.4485]\'','\'(-inf-99.541125]\'','\'All\'','\'(17175.6-25303.2]\'','\'(9919-17387]\'','\'(-inf-9763.2]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.173742-0.231238]\'','\'(0.685824-0.754176]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
'\'(-inf-3.6]\'','\'(0.651055-0.720291]\'','\'(0.29067-0.358851]\'','\'(370-460]\'','\'(-inf-0.000889]\'','\'(29.064546-35.882672]\'','\'(29.067006-35.885132]\'','\'(0.641149-0.70933]\'','\'(195.4485-279.397125]\'','\'(99.541125-164.91725]\'','\'All\'','\'(33430.8-41558.4]\'','\'(17387-24855]\'','\'(9763.2-15613.4]\'','\'(48140352-59844096]\'','\'(-inf-101183152]\'','\'(0.231238-0.288735]\'','\'(0.549121-0.617472]\'','\'(-inf-0.000855]\'',B,'\'(-inf-0.056674]\'',NB-Wait
'\'(8.4-inf)\'','\'(0.512583-0.581819]\'','\'(0.427032-0.495214]\'','\'(190-280]\'','\'(-inf-0.000889]\'','\'(42.700798-49.518923]\'','\'(42.703258-49.521384]\'','\'(0.504786-0.572967]\'','\'(-inf-111.499875]\'','\'(-inf-99.541125]\'','\'All\'','\'(17175.6-25303.2]\'','\'(-inf-9919]\'','\'(-inf-9763.2]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.346231-0.403728]\'','\'(0.412417-0.480769]\'','\'(0.000855-0.001305]\'','P NB','\'(0.056674-0.113348]\'',NB-Wait
'\'(-inf-3.6]\'','\'(0.789528-0.858764]\'','\'(0.154307-0.222489]\'','\'(280-370]\'','\'(-inf-0.000889]\'','\'(15.428294-22.24642]\'','\'(15.430755-22.248881]\'','\'(0.777511-0.845693]\'','\'(195.4485-279.397125]\'','\'(-inf-99.541125]\'','\'All\'','\'(25303.2-33430.8]\'','\'(17387-24855]\'','\'(-inf-9763.2]\'','\'(36436608-48140352]\'','\'(-inf-101183152]\'','\'(0.173742-0.231238]\'','\'(0.685824-0.754176]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
'\'(8.4-inf)\'','\'(0.720291-0.789528]\'','\'(0.222489-0.29067]\'','\'(190-280]\'','\'(-inf-0.000889]\'','\'(22.24642-29.064546]\'','\'(22.248881-29.067006]\'','\'(0.70933-0.777511]\'','\'(111.499875-195.4485]\'','\'(-inf-99.541125]\'','\'All\'','\'(17175.6-25303.2]\'','\'(9919-17387]\'','\'(-inf-9763.2]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.173742-0.231238]\'','\'(0.685824-0.754176]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'',NB-Wait
'\'(-inf-3.6]\'','\'(0.443347-0.512583]\'','\'(0.427032-0.495214]\'','\'(190-280]\'','\'(0.001855-0.002338]\'','\'(56.337049-63.155175]\'','\'(56.33951-63.157635]\'','\'(0.368424-0.436605]\'','\'(-inf-111.499875]\'','\'(99.541125-164.91725]\'','\'All\'','\'(17175.6-25303.2]\'','\'(-inf-9919]\'','\'(9763.2-15613.4]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.346231-0.403728]\'','\'(0.412417-0.480769]\'','\'(0.000855-0.001305]\'',NB,'\'(0.226696-0.283369]\'',NB-Wait
'\'(8.4-inf)\'','\'(0.512583-0.581819]\'','\'(0.427032-0.495214]\'','\'(190-280]\'','\'(-inf-0.000889]\'','\'(42.700798-49.518923]\'','\'(42.703258-49.521384]\'','\'(0.504786-0.572967]\'','\'(-inf-111.499875]\'','\'(-inf-99.541125]\'','\'All\'','\'(17175.6-25303.2]\'','\'(-inf-9919]\'','\'(-inf-9763.2]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.346231-0.403728]\'','\'(0.412417-0.480769]\'','\'(0.000855-0.001305]\'','P NB','\'(0.056674-0.113348]\'','NB-No Block'
'\'(-inf-3.6]\'','\'(0.37411-0.443347]\'','\'(0.563395-0.631576]\'','\'(-inf-190]\'','\'(-inf-0.000889]\'','\'(56.337049-63.155175]\'','\'(56.33951-63.157635]\'','\'(0.368424-0.436605]\'','\'(-inf-111.499875]\'','\'(-inf-99.541125]\'','\'All\'','\'(-inf-17175.6]\'','\'(-inf-9919]\'','\'(-inf-9763.2]\'','\'(-inf-24732864]\'','\'(-inf-101183152]\'','\'(0.403728-0.461224]\'','\'(0.344065-0.412417]\'','\'(0.000855-0.001305]\'',NB,'\'(0.170022-0.226696]\'',NB-Wait
'\'(8.4-inf)\'','\'(0.720291-0.789528]\'','\'(0.222489-0.29067]\'','\'(190-280]\'','\'(-inf-0.000889]\'','\'(22.24642-29.064546]\'','\'(22.248881-29.067006]\'','\'(0.70933-0.777511]\'','\'(111.499875-195.4485]\'','\'(-inf-99.541125]\'','\'All\'','\'(17175.6-25303.2]\'','\'(9919-17387]\'','\'(-inf-9763.2]\'','\'(24732864-36436608]\'','\'(-inf-101183152]\'','\'(0.116246-0.173742]\'','\'(0.685824-0.754176]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
'\'(-inf-3.6]\'','\'(0.789528-0.858764]\'','\'(0.154307-0.222489]\'','\'(910-inf)\'','\'(-inf-0.000889]\'','\'(15.428294-22.24642]\'','\'(15.430755-22.248881]\'','\'(0.777511-0.845693]\'','\'(783.088875-inf)\'','\'(164.91725-230.293375]\'','\'All\'','\'(82196.4-inf)\'','\'(69663-inf)\'','\'(15613.4-21463.6]\'','\'(118362816-inf)\'','\'(101183152-198836864]\'','\'(0.116246-0.173742]\'','\'(0.754176-0.822528]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
'\'(8.4-inf)\'','\'(-inf-0.304874]\'','\'(0.699758-inf)\'','\'(280-370]\'','\'(0.003305-0.003788]\'','\'(69.973301-inf)\'','\'(69.975761-inf)\'','\'(-inf-0.300242]\'','\'(-inf-111.499875]\'','\'(164.91725-230.293375]\'','\'All\'','\'(25303.2-33430.8]\'','\'(-inf-9919]\'','\'(15613.4-21463.6]\'','\'(36436608-48140352]\'','\'(-inf-101183152]\'','\'(0.461224-0.518721]\'','\'(-inf-0.275713]\'','\'(0.000855-0.001305]\'',NB,'\'(0.283369-0.340043]\'',NB-Wait
'\'(-inf-3.6]\'','\'(0.720291-0.789528]\'','\'(0.222489-0.29067]\'','\'(820-910]\'','\'(-inf-0.000889]\'','\'(22.24642-29.064546]\'','\'(22.248881-29.067006]\'','\'(0.70933-0.777511]\'','\'(699.14025-783.088875]\'','\'(164.91725-230.293375]\'','\'All\'','\'(74068.8-82196.4]\'','\'(62195-69663]\'','\'(15613.4-21463.6]\'','\'(106659072-118362816]\'','\'(-inf-101183152]\'','\'(0.173742-0.231238]\'','\'(0.754176-0.822528]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
'\'(8.4-inf)\'','\'(0.512583-0.581819]\'','\'(0.427032-0.495214]\'','\'(280-370]\'','\'(0.000889-0.001372]\'','\'(42.700798-49.518923]\'','\'(42.703258-49.521384]\'','\'(0.504786-0.572967]\'','\'(111.499875-195.4485]\'','\'(99.541125-164.91725]\'','\'All\'','\'(25303.2-33430.8]\'','\'(9919-17387]\'','\'(9763.2-15613.4]\'','\'(36436608-48140352]\'','\'(-inf-101183152]\'','\'(0.346231-0.403728]\'','\'(0.412417-0.480769]\'','\'(0.000855-0.001305]\'','P NB','\'(0.113348-0.170022]\'',NB-Wait
'\'(-inf-3.6]\'','\'(0.789528-0.858764]\'','\'(0.154307-0.222489]\'','\'(730-820]\'','\'(-inf-0.000889]\'','\'(15.428294-22.24642]\'','\'(15.430755-22.248881]\'','\'(0.777511-0.845693]\'','\'(615.191625-699.14025]\'','\'(99.541125-164.91725]\'','\'All\'','\'(65941.2-74068.8]\'','\'(54727-62195]\'','\'(9763.2-15613.4]\'','\'(94955328-106659072]\'','\'(-inf-101183152]\'','\'(0.116246-0.173742]\'','\'(0.754176-0.822528]\'','\'(0.000855-0.001305]\'',B,'\'(-inf-0.056674]\'','NB-No Block'
