anchor_ratio,trans_range,node_density,iterations,ale,sd_ale
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(22.6-31.2]\'','\'(1.046342-1.26378]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(91.4-inf)\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(65.6-74.2]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(39.8-48.4]\'','\'(0.828904-1.046342]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(57-65.6]\'','\'(1.046342-1.26378]\'','\'(0.221058-0.329953]\''
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(31.2-39.8]\'','\'(1.26378-1.481218]\'','\'(0.329953-0.438849]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(22.6-31.2]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(48.4-57]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(39.8-48.4]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(26-28]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(-inf-22.6]\'','\'(2.133532-2.350969]\'','\'(0.547744-0.656639]\''
'\'(18-20]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(48.4-57]\'','\'(1.046342-1.26378]\'','\'(0.329953-0.438849]\''
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'','\'(0.828904-1.046342]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(74.2-82.8]\'','\'(0.828904-1.046342]\'','\'(0.329953-0.438849]\''
'\'(24-26]\'','\'(23.7-inf)\'','\'(280-inf)\'','\'(-inf-22.6]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(28-inf)\'','\'(23.7-inf)\'','\'(-inf-120]\'','\'(65.6-74.2]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(82.8-91.4]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(65.6-74.2]\'','\'(0.611467-0.828904]\'','\'(-inf-0.112163]\''
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(-inf-22.6]\'','\'(1.046342-1.26378]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(82.8-91.4]\'','\'(1.046342-1.26378]\'','\'(0.221058-0.329953]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(-inf-22.6]\'','\'(1.046342-1.26378]\'','\'(0.221058-0.329953]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(57-65.6]\'','\'(0.828904-1.046342]\'','\'(0.221058-0.329953]\''
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(91.4-inf)\'','\'(-inf-0.611467]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(57-65.6]\'','\'(0.611467-0.828904]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(-inf-22.6]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(-inf-22.6]\'','\'(1.698656-1.916094]\'','\'(0.221058-0.329953]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(48.4-57]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(22.6-31.2]\'','\'(1.26378-1.481218]\'','\'(0.983325-inf)\''
'\'(18-20]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(48.4-57]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(39.8-48.4]\'','\'(0.611467-0.828904]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(22.6-31.2]\'','\'(1.26378-1.481218]\'','\'(0.329953-0.438849]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(82.8-91.4]\'','\'(1.046342-1.26378]\'','\'(0.329953-0.438849]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(22.6-31.2]\'','\'(0.828904-1.046342]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(-inf-22.6]\'','\'(0.828904-1.046342]\'','\'(0.221058-0.329953]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(48.4-57]\'','\'(0.828904-1.046342]\'','\'(0.547744-0.656639]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(48.4-57]\'','\'(0.828904-1.046342]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(74.2-82.8]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(-inf-22.6]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(74.2-82.8]\'','\'(1.046342-1.26378]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(57-65.6]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(-inf-120]\'','\'(82.8-91.4]\'','\'(1.046342-1.26378]\'','\'(0.438849-0.547744]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(91.4-inf)\'','\'(0.828904-1.046342]\'','\'(0.221058-0.329953]\''
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(22.6-31.2]\'','\'(1.698656-1.916094]\'','\'(0.438849-0.547744]\''
'\'(14-16]\'','\'(15.9-17.2]\'','\'(-inf-120]\'','\'(-inf-22.6]\'','\'(1.26378-1.481218]\'','\'(0.438849-0.547744]\''
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(39.8-48.4]\'','\'(1.481218-1.698656]\'','\'(0.329953-0.438849]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(57-65.6]\'','\'(1.046342-1.26378]\'','\'(0.221058-0.329953]\''
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(82.8-91.4]\'','\'(0.611467-0.828904]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(22.6-31.2]\'','\'(0.828904-1.046342]\'','\'(0.221058-0.329953]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(74.2-82.8]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(24-26]\'','\'(23.7-inf)\'','\'(280-inf)\'','\'(31.2-39.8]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(180-200]\'','\'(57-65.6]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(48.4-57]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(22.6-31.2]\'','\'(0.611467-0.828904]\'','\'(0.329953-0.438849]\''
'\'(28-inf)\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(65.6-74.2]\'','\'(0.611467-0.828904]\'','\'(-inf-0.112163]\''
'\'(28-inf)\'','\'(14.6-15.9]\'','\'(280-inf)\'','\'(22.6-31.2]\'','\'(-inf-0.611467]\'','\'(-inf-0.112163]\''
'\'(20-22]\'','\'(17.2-18.5]\'','\'(-inf-120]\'','\'(39.8-48.4]\'','\'(1.046342-1.26378]\'','\'(0.329953-0.438849]\''
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(22.6-31.2]\'','\'(0.828904-1.046342]\'','\'(0.112163-0.221058]\''
'\'(16-18]\'','\'(22.4-23.7]\'','\'(-inf-120]\'','\'(-inf-22.6]\'','\'(1.26378-1.481218]\'','\'(0.329953-0.438849]\''
'\'(12-14]\'','\'(15.9-17.2]\'','\'(180-200]\'','\'(57-65.6]\'','\'(0.828904-1.046342]\'','\'(0.221058-0.329953]\''
'\'(14-16]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(48.4-57]\'','\'(1.046342-1.26378]\'','\'(0.329953-0.438849]\''
'\'(18-20]\'','\'(19.8-21.1]\'','\'(-inf-120]\'','\'(39.8-48.4]\'','\'(1.046342-1.26378]\'','\'(0.547744-0.656639]\''
'\'(14-16]\'','\'(14.6-15.9]\'','\'(180-200]\'','\'(39.8-48.4]\'','\'(0.611467-0.828904]\'','\'(0.112163-0.221058]\''
