{17}	{121}	{0}	{4}	{2}	{1}	{1}	{2}	{0}	0	1	3	
{17}	{122}	{7}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{123}	{7}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{124}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{18}	{125}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{18}	{126}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{18}	{127}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{18}	{128}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{18}	{129}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{18}	{130}	{0}	{1}	{2}	{1}	{3}	{2}	{0}	0	1	2	
{19}	{131}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{19}	{132}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{19}	{133}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{19}	{134}	{0, 1, 2, 3, 4, 5, 6, 7}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{19}	{135}	{0}	{0}	{2}	{4}	{1}	{2}	{0, 1, 2, 3, 4, 5, 6, 7}	2	4	8	
{19}	{136}	{0}	{0}	{2}	{4}	{1}	{2}	{6}	2	4	8	
{20}	{137}	{0}	{0}	{0}	{4}	{1}	{0}	{6}	2	5	10	
{21}	{138}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{21}	{139}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{21}	{140}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{21}	{141}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{21}	{142}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{21}	{143}	{0}	{4}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{21}	{144}	{0}	{4}	{2}	{1}	{3}	{2}	{6}	0	1	3	
{21}	{145}	{0}	{0}	{2}	{2}	{3}	{2}	{6}	0	1	3	
{21}	{146}	{0}	{4}	{2}	{2}	{3}	{2}	{6}	0	1	3	
{21}	{147}	{0}	{4}	{2}	{2}	{3}	{2}	{6}	0	1	3	
{21}	{148}	{0}	{4}	{2}	{2}	{1}	{2}	{0}	0	1	3	
{21}	{149}	{0}	{0}	{4}	{4}	{1}	{2}	{6}	2	5	10	
{21}	{150}	{0}	{1}	{2}	{1}	{1}	{2}	{0}	0	1	2	
{21}	{151}	{0}	{1}	{1}	{2}	{1}	{1}	{1}	3	6	11	
{21}	{152}	{0}	{1}	{1}	{2}	{1}	{1}	{2}	3	6	11	
{21}	{153}	{0}	{2}	{1}	{3}	{0}	{1}	{3}	3	6	12	
{21}	{154}	{0}	{4}	{5}	{1}	{1}	{1}	{0}	0	1	2	
{21}	{155}	{0}	{1}	{1}	{2}	{1}	{1}	{1}	3	6	11	
{21}	{156}	{0}	{2}	{1}	{0}	{0}	{1}	{3}	3	7	13	
{22}	{157}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{22}	{158}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{22}	{159}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{22}	{160}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	10	
{22}	{161}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{22}	{162}	{0}	{4}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{22}	{163}	{0}	{4}	{4}	{4}	{3}	{2}	{6}	2	4	7	
{22}	{164}	{0}	{4}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{22}	{165}	{0}	{4}	{4}	{1}	{0}	{1}	{6}	2	4	8	
{22}	{166}	{0}	{4}	{4}	{1}	{0}	{1}	{6}	2	4	8	
{22}	{167}	{0}	{1}	{2}	{2}	{3}	{2}	{6}	0	1	2	
{22}	{168}	{0}	{1}	{5}	{6}	{3}	{2}	{0}	3	6	11	
{22}	{169}	{0}	{4}	{2}	{3}	{0}	{1}	{0}	0	0	0	
{23}	{170}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{23}	{171}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{23}	{172}	{2}	{0}	{4}	{2}	{3}	{2}	{6}	2	4	7	
{24}	{173}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{24}	{174}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{24}	{175}	{2}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	7	
{25}	{176}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{25}	{177}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{25}	{178}	{0}	{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7}	{3}	{0, 1, 2, 3, 4, 5, 6, 7}	{6}	2	5	9	
{25}	{179}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{25}	{180}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{26}	{181}	{2}	{0, 1, 2, 3, 4}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{26}	{182}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{26}	{183}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{26}	{184}	{0}	{0}	{0}	{4}	{1}	{2}	{6}	2	5	10	
{26}	{185}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{26}	{186}	{0}	{4}	{2}	{1}	{3}	{2}	{0}	0	1	3	
{26}	{187}	{0}	{4}	{4}	{4}	{1}	{2}	{6}	2	4	7	
{26}	{188}	{0}	{4}	{4}	{1}	{1}	{2}	{6}	2	4	8	
{26}	{189}	{0}	{1}	{2}	{2}	{4}	{1}	{0}	0	1	2	
{26}	{190}	{0}	{1}	{5}	{1}	{1}	{2}	{0}	0	0	0	
{26}	{191}	{0}	{1}	{1}	{2}	{4}	{2}	{1}	3	6	11	
{26}	{192}	{0}	{1}	{1}	{3}	{5}	{1}	{2}	3	6	12	
{27}	{193}	{0}	{0}	{4}	{1}	{3}	{1}	{6}	2	4	7	
{27}	{194}	{0}	{0}	{1}	{4}	{1}	{1}	{6}	0	0	0	
{27}	{195}	{0}	{0}	{1}	{1}	{5}	{4}	{0}	0	0	1	
{27}	{196}	{0}	{0}	{1}	{3}	{6}	{6}	{1}	3	6	12	
{27}	{197}	{0}	{4}	{1}	{3}	{6}	{6}	{2}	3	6	12	
{27}	{198}	{0}	{1}	{3}	{7}	{4}	{7}	{0, 1, 2, 3, 4, 5, 6, 7}	1	2	4	
{27}	{199}	{0}	{1}	{3}	{3}	{4}	{7}	{5}	1	2	4	
{27}	{200}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{201}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{202}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{203}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{204}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{27}	{205}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{28}	{206}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{29}	{207}	{5}	{0}	{4}	{1}	{3}	{2}	{6}	2	5	10	
{29}	{208}	{5}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
